DBN,Location,Location Type,Total_GC&SW,Total GC,Total SW,Full Time GC,Full Time SW
22K217,P.S. 217 Colonel David Marcus School,Elementary,3.0,1.0,2.0,1.0,2.0
22K222,P.S. 222 Katherine R. Snyder,Elementary,3.0,1.0,2.0,1.0,2.0
22K234,J.H.S. 234 Arthur W. Cunningham,Junior High-Intermediate-Middle,3.3,3.0,0.3,3.0,0.0
22K236,P.S. 236 Mill Basin,Elementary,0.6,0.6,0.0,0.0,0.0
22K240,Andries Hudde,Junior High-Intermediate-Middle,2.2,2.0,0.2,2.0,0.0
22K245,P.S. 245,Elementary,0.3,0.3,0.0,0.0,0.0
22K251,P.S. 251 Paerdegat,Elementary,2.0,1.0,1.0,1.0,1.0
22K254,P.S. 254 Dag Hammarskjold,Elementary,0.6,0.6,0.0,0.0,0.0
22K255,P.S. 255 Barbara Reing School,Elementary,3.0,2.0,1.0,2.0,1.0
22K277,P.S. 277 Gerritsen Beach,Elementary,1.0,1.0,0.0,1.0,0.0
22K278,J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,4.3,3.0,1.3,3.0,1.0
22K312,P.S. 312 Bergen Beach,Elementary,2.0,1.0,1.0,1.0,1.0
22K315,P.S. K315,Elementary,2.0,1.0,1.0,1.0,1.0
22K326,P.S. 326,Early Childhood,1.0,1.0,0.0,1.0,0.0
22K361,P.S. 361 East Flatbush Early Childhood School,Elementary,3.0,2.0,1.0,2.0,1.0
22K381,I. S. 381,Junior High-Intermediate-Middle,1.2,1.0,0.2,1.0,0.0
22K405,Midwood High School,High school,19.3,15.0,4.3,15.0,4.0
22K425,James Madison High School,High school,20.3,18.0,2.3,18.0,2.0
22K535,Leon M. Goldstein High School for the Sciences,High school,4.3,3.0,1.3,3.0,1.0
22K555,Brooklyn College Academy,High school,4.3,3.0,1.3,3.0,1.0
22K611,Origins High School,High school,4.3,3.0,1.3,3.0,1.0
22K630,Professional Pathways High School,High school,2.0,2.0,0.0,2.0,0.0
22K889,P.S. 889,Elementary,Has counseling service (shares with co-located school),0.0,0.0,0.0,0.0
22K890,M.S. 890,Junior High-Intermediate-Middle,1.2,1.0,0.2,1.0,0.0
23K041,P.S. 041 Francis White,K-8,4.0,2.0,2.0,2.0,2.0
23K137,P.S./I.S. 137 Rachel Jean Mitchell,Elementary,2.0,1.0,1.0,1.0,1.0
23K150,P.S. 150 Christopher,Elementary,1.0,0.0,1.0,0.0,1.0
23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,3.0,2.0,1.0,2.0,1.0
23K156,P.S. 156 Waverly,Elementary,1.0,1.0,0.0,1.0,0.0
23K165,P.S. 165 Ida Posner,Elementary,1.0,1.0,0.0,1.0,0.0
23K178,P.S. 178 Saint Clair Mckelway,K-8,5.0,1.0,4.0,1.0,4.0
23K184,P.S. 184 Newport,K-8,4.0,2.0,2.0,2.0,2.0
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",Elementary,2.0,1.0,1.0,1.0,1.0
23K298,P.S. 298 Dr. Betty Shabazz,Elementary,2.0,1.0,1.0,1.0,1.0
23K323,P.S./I.S. 323,K-8,3.0,1.0,2.0,1.0,2.0
23K327,P.S. 327 Dr. Rose B. English,Elementary,3.0,1.0,2.0,1.0,2.0
23K363,Brownsville Collaborative Middle School,Junior High-Intermediate-Middle,5.0,2.0,3.0,2.0,3.0
23K392,I.S. 392,Junior High-Intermediate-Middle,4.0,2.0,2.0,2.0,2.0
23K401,Christopher Avenue Community School,Elementary,3.0,1.0,2.0,1.0,2.0
23K446,Riverdale Avenue Community School,Elementary,2.0,0.0,2.0,0.0,2.0
23K493,Brooklyn Collegiate: A College Board School,High school,6.2,3.0,3.2,3.0,3.0
23K514,Frederick Douglass Academy VII High School,High school,3.0,2.0,1.0,2.0,1.0
23K518,Kappa V (Knowledge and Power Preparatory Academy),Junior High-Intermediate-Middle,3.0,2.0,1.0,2.0,1.0
23K522,Mott Hall IV,Junior High-Intermediate-Middle,3.0,2.0,1.0,2.0,1.0
