DBN,School  Information                                                                                                         School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Counts by Role Specificaiton           Full-time GC,Counts by Role Specification                       Full-Time SW,Count by Role Specification          Part-time GC,Count by Role Specification           Part-Time SW,Additional Role Specifications      Bilingual GC,Additional Role Specifications        Bilingual SW,Additional Role Specifications        GC Serving More than One Location,Additional Role Specifications        SW Serving More than One Location,Program Designations Included in Counts      Bridging the Gap,Program Designations Included in Counts        High Needs SW,Program Designations Included in Counts        High Needs GC,Program Designations Included in Counts        School Response Clinician,Program Designations Included in Counts               Single Shepherd,Additional Supports      Learning to Work,Additional Supports              CBO Partner,Enrollment and Ratios   2019-20 SY Enrollment,Enrollment and Ratios           Ratio GC & SW,Enrollment and Ratios                   Ratio GC Only,Enrollment and Ratios                     Ratio SW Only
04M072,The Lexington Academy,K-8,1.8,0.8,1,0,1,0.8,0,0,1,0.8,0,na,na,na,na,na,na,na,588,327,588,588
04M083,P.S. 083 Luis Munoz Rivera,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,371,371,371,371
04M096,P.S. 096 Joseph Lanzetta,K-8,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,405,405,405,405
04M102,P.S. 102 Jacques Cartier,ELEMENTARY,3.0,0,3,0,3,0,0,0,1,0,0,na,na,na,na,na,na,na,243,81,243,81
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,3.0,2,1,2,1,0,0,0,1,0,0,na,na,na,na,na,na,na,461,154,231,461
04M112,P.S. 112 Jose Celso Barbosa,EARLY CHILDHOOD,1.2,0.2,1,0,1,0.2,0,0,0,0.2,0,na,na,na,na,na,na,na,322,268,322,322
04M146,P.S. 146 Ann M. Short,ELEMENTARY,3.0,0,3,0,3,0,0,0,1,0,0,na,na,na,na,na,na,na,389,130,389,130
04M155,P.S. 155 William Paca,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,244,122,244,244
04M171,P.S. 171 Patrick Henry,K-8,3.0,1,2,1,2,0,0,0,0,0,0,na,na,na,na,na,na,na,765,255,765,383
04M182,The Bilingual Bicultural School,ELEMENTARY,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,296,296,296,296
04M206,P.S. 206 Jose Celso Barbosa,K-8,3.0,0,3,0,3,0,0,0,1,0,0,na,na,na,na,na,na,na,454,151,454,151
04M224,M.S. 224 Manhattan East School for Arts & Academic,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.2,2,0.2,2,0,0,0.2,1,0,0,0.2,na,na,na,School Response Clinicians,na,na,na,208,96,104,208
04M310,The Judith S. Kaye School,HIGH SCHOOL,GC and SW counts reflected on 79M331 budget,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,Learning to Work,na,147,see note in column D,see note in column D,see note in column D
04M372,Esperanza Preparatory Academy,SECONDARY SCHOOL,3.0,2,1,2,1,0,0,1,0,0,0,na,na,na,na,na,na,na,525,175,263,525
04M375,Mosaic Preparatory Academy,ELEMENTARY,2.0,2,0,2,0,0,0,0,0,0,0,na,High Needs SW,High Needs GC,na,na,na,na,254,127,127,254
04M377,Renaissance School of the Arts,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.2,1,0.2,1,0,0,0.2,0,0,0,0.2,na,na,na,School Response Clinicians,na,na,"Partnership with Children, Inc.",202,173,202,202
04M435,Manhattan Center for Science and Mathematics,HIGH SCHOOL,5.0,4,1,4,1,0,0,3,0,0,0,na,na,na,na,na,na,na,1647,329,412,1647
04M495,Park East High School,HIGH SCHOOL,3.0,2,1,2,1,0,0,1,0,0,0,na,na,na,na,na,na,na,380,127,190,380
04M497,Central Park East I,ELEMENTARY,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,174,174,174,174
04M555,Central Park East High School,HIGH SCHOOL,3.0,2,1,2,1,0,0,1,0,0,0,na,na,na,na,na,na,na,512,171,256,512
04M610,Young Women's Leadership School,SECONDARY SCHOOL,1.4,1.2,0.2,1,0,0.2,0.2,0,0,0.2,0.2,na,na,na,School Response Clinicians,na,na,na,474,347,395,474
04M680,"Heritage School, The",HIGH SCHOOL,2.0,2,0,2,0,0,0,1,0,0,0,na,na,na,na,na,na,na,311,156,156,311
04M825,Isaac Newton Middle School for Math & Science,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.3,1,1.3,1,1,0,0.3,0,0,0,0.3,na,na,na,School Response Clinicians,na,na,na,281,125,281,225
04M964,Central Park East II,K-8,1.0,1,0,1,0,0,0,1,0,0,0,na,na,na,na,na,na,"Partnership with Children, Inc.",466,466,466,466
05M030,P.S. 030 Hernandez/Hughes,ELEMENTARY,3.0,2,1,2,1,0,0,0,0,0,0,na,na,na,na,na,na,na,236,79,118,236
05M036,P.S. 036 Margaret Douglas,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,374,187,374,374
05M046,P.S. 046 Arthur Tappan,K-8,3.0,1,2,1,2,0,0,0,0,0,0,na,na,na,na,na,na,na,557,186,557,279
05M092,P.S. 092 Mary McLeod Bethune,ELEMENTARY,2.0,0,2,0,2,0,0,0,0,0,0,Bridging the Gap,na,na,na,na,na,na,243,122,243,122
05M123,P.S. 123 Mahalia Jackson,K-8,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,461,231,461,461
05M125,P.S. 125 Ralph Bunche,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,303,303,303,303
05M129,P.S. 129 John H. Finley,K-8,3.0,1,2,1,2,0,0,1,0,0,0,Bridging the Gap,na,na,na,na,na,na,377,126,377,189
05M133,P.S. 133 Fred R Moore,ELEMENTARY,3.0,2,1,2,1,0,0,0,0,0,0,na,na,na,na,na,na,na,225,75,113,225
05M148,Eagle Academy for Young Men of Harlem,SECONDARY SCHOOL,3.0,1,2,1,2,0,0,0,0,0,0,na,na,na,na,na,na,na,382,127,382,191
05M154,P.S. 154 Harriet Tubman,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,282,282,282,282
05M157,The Urban Assembly School for Global Commerce,HIGH SCHOOL,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,233,117,117,233
05M161,P.S. 161 Pedro Albizu Campos,K-8,3.0,2,1,2,1,0,0,0,0,0,0,na,na,na,na,na,na,na,762,254,381,762
05M175,P.S. 175 Henry H Garnet,ELEMENTARY,2.0,0,2,0,2,0,0,0,0,0,0,Bridging the Gap,na,na,na,na,na,na,343,172,343,172
05M194,P.S. 194 Countee Cullen,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,"Counseling In Schools, Inc.",185,185,185,185
05M197,P.S. 197 John B. Russwurm,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,Bridging the Gap,na,na,na,na,na,na,289,145,289,289
05M200,P.S. 200- The James McCune Smith School,ELEMENTARY,4.0,2,2,2,2,0,0,0,1,0,0,Bridging the Gap,na,na,na,na,na,na,375,94,188,188
05M285,Harlem Renaissance High School,HIGH SCHOOL,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,Learning to Work,na,213,213,213,213
05M286,Urban Assembly Academy for Future Leaders,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,103,103,103,103
05M304,Mott Hall High School,HIGH SCHOOL,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,239,239,239,239
05M318,Thurgood Marshall Academy Lower School,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,206,206,206,206
05M362,Columbia Secondary School,SECONDARY SCHOOL,2.0,2,0,2,0,0,0,1,0,0,0,na,na,na,na,na,na,na,698,349,349,698
05M369,Urban Assembly School for the Performing Arts,HIGH SCHOOL,4.0,3,1,3,1,0,0,0,0,0,0,na,na,na,na,na,na,na,380,95,127,380
05M371,School of Earth Exploration and Discovery Harlem (SEED Harlem),JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,77,77,77,77
05M499,Frederick Douglass Academy,SECONDARY SCHOOL,6.0,4,2,4,2,0,0,0,0,0,0,Bridging the Gap,na,na,na,na,na,na,1072,179,268,536
05M514,New Design Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,138,138,138,138
05M517,Teachers College Community School,K-8,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,374,374,374,374
05M670,Thurgood Marshall Academy for Learning and Social,SECONDARY SCHOOL,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,541,271,271,541
05M692,"High School for Mathematics, Science and Engineeri",HIGH SCHOOL,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,485,243,243,485
06M004,P.S. 004 Duke Ellington,ELEMENTARY,2.0,0,2,0,2,0,0,0,0,0,0,na,na,na,na,na,na,na,499,250,499,250
06M005,P.S. 005 Ellen Lurie,ELEMENTARY,3.0,2,1,2,1,0,0,0,1,0,0,na,na,na,na,na,na,na,556,185,278,556
06M008,P.S. 008 Luis Belliard,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,"East Side House, Inc.",480,480,480,480
06M018,P.S. 018 Park Terrace,K-8,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,349,349,349,349
06M028,P.S. 028 Wright Brothers,ELEMENTARY,2.6,1.6,1,1,1,0.6,0,0,1,0.6,0,na,na,na,na,na,na,na,532,205,333,532
06M048,P.S. 048 P.O. Michael J. Buczek,ELEMENTARY,2.0,1,1,1,1,0,0,1,1,0,0,na,na,na,na,na,na,na,452,226,452,452
06M052,Harold O. Levy School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.0,0,2,0,2,0,0,0,1,0,0,na,na,na,na,na,na,na,268,134,268,134
