DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
31R074,P.S. 74 Future Leaders Elementary School,2019-20,280,18,43,36,36,48,51,48,0,0,0,0,0,0,0,136,0.486,144,0.514,14,0.05,77,0.275,170,0.607,2,0.007,17,0.061,82,0.293,51,0.182,251,89.60%,90.20%
31R075,I.S. 075 Frank D. Paulo,2019-20,"1,448",0,0,0,0,0,0,0,451,523,474,0,0,0,0,694,0.479,754,0.521,156,0.108,25,0.017,203,0.14,31,0.021,"1,033",0.713,325,0.224,14,0.01,545,37.60%,30.60%
31R078,P.S. 78,2019-20,715,35,88,94,126,121,133,118,0,0,0,0,0,0,0,343,0.48,372,0.52,34,0.048,292,0.408,343,0.48,21,0.029,25,0.035,274,0.383,61,0.085,Above 95%,Above 95%,Above 95%
31R080,The Michael J. Petrides School,2019-20,"1,338",36,74,87,90,92,103,102,98,94,92,134,111,110,115,640,0.478,698,0.522,123,0.092,279,0.209,376,0.281,28,0.021,532,0.398,394,0.294,16,0.012,625,46.70%,49.10%
31R440,New Dorp High School,2019-20,"3,106",0,0,0,0,0,0,0,0,0,0,909,787,924,486,"1,507",0.485,"1,599",0.515,336,0.108,277,0.089,844,0.272,66,0.021,"1,583",0.51,721,0.232,148,0.048,1901,61.20%,55.70%
31R445,Port Richmond High School,2019-20,"1,564",0,0,0,0,0,0,0,0,0,0,350,334,396,484,757,0.484,807,0.516,128,0.082,357,0.228,719,0.46,38,0.024,322,0.206,463,0.296,159,0.102,1216,77.70%,75.70%
31R450,Curtis High School,2019-20,"2,476",0,0,0,0,0,0,0,0,1,0,792,745,527,411,"1,412",0.57,"1,064",0.43,185,0.075,852,0.344,"1,034",0.418,80,0.032,325,0.131,466,0.188,216,0.087,1874,75.70%,73.40%
31R455,Tottenville High School,2019-20,"3,694",0,0,0,0,0,0,0,0,0,0,937,889,921,947,"1,892",0.512,"1,802",0.488,230,0.062,56,0.015,433,0.117,44,0.012,"2,931",0.793,781,0.211,69,0.019,1295,35.10%,33.50%
31R460,Susan E. Wagner High School,2019-20,"3,434",0,0,0,0,0,0,0,0,0,0,864,894,789,887,"1,717",0.5,"1,717",0.5,530,0.154,353,0.103,970,0.282,40,0.012,"1,541",0.449,751,0.219,113,0.033,1945,56.60%,52.10%
31R470,Concord High School,2019-20,178,0,0,0,0,0,0,0,0,0,0,6,59,69,44,94,0.528,84,0.472,0,0,58,0.326,98,0.551,2,0.011,20,0.112,68,0.382,6,0.034,148,83.10%,83.80%
31R600,Ralph R. McKee Career and Technical Education High,2019-20,830,0,0,0,0,0,0,0,0,0,0,285,205,168,172,180,0.217,650,0.783,43,0.052,223,0.269,397,0.478,13,0.016,154,0.186,278,0.335,57,0.069,612,73.70%,74.80%
31R605,Staten Island Technical High School,2019-20,"1,335",0,0,0,0,0,0,0,0,0,0,329,334,330,342,587,0.44,748,0.56,703,0.527,6,0.004,52,0.039,18,0.013,556,0.416,19,0.014,0,0,571,42.80%,37.30%
31R861,Staten Island School of Civic Leadership,2019-20,873,18,88,93,100,102,99,103,90,88,92,0,0,0,0,449,0.514,424,0.486,131,0.15,178,0.204,354,0.405,43,0.049,167,0.191,218,0.25,42,0.048,643,73.70%,65.50%
32K045,P.S./I.S. 045 Horace E. Greene,2019-20,593,36,51,45,60,58,62,61,75,67,78,0,0,0,0,319,0.538,274,0.462,18,0.03,253,0.427,299,0.504,5,0.008,18,0.03,124,0.209,90,0.152,502,84.70%,86.40%
32K075,P.S. 075 Mayda Cortiella,2019-20,282,32,23,45,40,45,48,49,0,0,0,0,0,0,0,127,0.45,155,0.55,5,0.018,52,0.184,216,0.766,0,0,9,0.032,65,0.23,59,0.209,244,86.50%,90.10%
32K086,P.S. 086 The Irvington,2019-20,419,0,72,63,61,70,83,70,0,0,0,0,0,0,0,211,0.504,208,0.496,6,0.014,3,0.007,401,0.957,2,0.005,7,0.017,90,0.215,148,0.353,397,94.70%,89.90%
