DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
17K189,P.S. 189 The Bilingual Center,2019-20,"1,000",0,89,104,89,108,115,115,141,123,116,0,0,0,0,507,0.507,493,0.493,24,0.024,710,0.71,231,0.231,12,0.012,23,0.023,150,0.15,154,0.154,891,89.10%,82.80%
17K191,P.S. 191 Paul Robeson,2019-20,173,17,30,18,21,25,34,28,0,0,0,0,0,0,0,88,0.509,85,0.491,4,0.023,140,0.809,22,0.127,5,0.029,2,0.012,51,0.295,8,0.046,160,92.50%,90.70%
17K221,P.S. 221 Toussaint L'Ouverture,2019-20,226,25,22,24,26,44,41,44,0,0,0,0,0,0,0,112,0.496,114,0.504,2,0.009,200,0.885,20,0.088,0,0,4,0.018,39,0.173,7,0.031,187,82.70%,85.70%
17K241,P.S. 241 Emma L. Johnston,2019-20,457,51,62,62,75,65,65,77,0,0,0,0,0,0,0,245,0.536,212,0.464,3,0.007,379,0.829,42,0.092,12,0.026,21,0.046,41,0.09,39,0.085,388,84.90%,78.90%
17K246,M.S. 246 Walt Whitman,2019-20,416,0,0,0,0,0,0,0,131,134,151,0,0,0,0,196,0.471,220,0.529,11,0.026,284,0.683,93,0.224,8,0.019,20,0.048,91,0.219,117,0.281,344,82.70%,85.40%
17K249,P.S. 249 The Caton,2019-20,853,36,145,140,132,134,137,129,0,0,0,0,0,0,0,425,0.498,428,0.502,58,0.068,358,0.42,390,0.457,16,0.019,31,0.036,169,0.198,171,0.2,629,73.70%,77.00%
17K289,P.S. 289 George V. Brower,2019-20,316,36,40,47,44,49,42,58,0,0,0,0,0,0,0,146,0.462,170,0.538,15,0.047,225,0.712,52,0.165,12,0.038,12,0.038,92,0.291,26,0.082,267,84.50%,87.20%
17K316,P.S. 316 Elijah Stroud,2019-20,597,59,93,83,109,82,80,91,0,0,0,0,0,0,0,321,0.538,276,0.462,16,0.027,391,0.655,98,0.164,22,0.037,70,0.117,91,0.152,18,0.03,359,60.10%,59.40%
17K340,I.S. 340,2019-20,197,0,0,0,0,0,0,0,83,60,54,0,0,0,0,95,0.482,102,0.518,0,0,141,0.716,45,0.228,6,0.03,5,0.025,43,0.218,4,0.02,156,79.20%,78.20%
17K352,Ebbets Field Middle School,2019-20,123,0,0,0,0,0,0,0,39,44,40,0,0,0,0,56,0.455,67,0.545,4,0.033,86,0.699,22,0.179,0,0,11,0.089,39,0.317,18,0.146,Above 95%,Above 95%,89.20%
17K353,Elijah Stroud Middle School,2019-20,162,0,0,0,0,0,0,0,42,62,58,0,0,0,0,79,0.488,83,0.512,9,0.056,104,0.642,38,0.235,5,0.031,6,0.037,51,0.315,20,0.123,147,90.70%,84.10%
17K354,The School of Integrated Learning,2019-20,373,0,0,0,0,0,0,0,123,116,134,0,0,0,0,200,0.536,173,0.464,5,0.013,315,0.845,44,0.118,7,0.019,2,0.005,74,0.198,14,0.038,309,82.80%,76.70%
17K375,P.S. 375 Jackie Robinson School,2019-20,290,29,48,30,50,36,53,44,0,0,0,0,0,0,0,133,0.459,157,0.541,9,0.031,212,0.731,59,0.203,8,0.028,2,0.007,76,0.262,56,0.193,267,92.10%,83.50%
17K382,Academy for College Preparation and Career Explora,2019-20,346,0,0,0,0,0,0,0,44,41,42,61,56,44,58,146,0.422,200,0.578,2,0.006,250,0.723,69,0.199,17,0.049,8,0.023,59,0.171,42,0.121,293,84.70%,84.50%
17K394,M.S. K394,2019-20,337,23,28,23,43,37,27,23,39,49,45,0,0,0,0,172,0.51,165,0.49,27,0.08,241,0.715,62,0.184,4,0.012,3,0.009,50,0.148,23,0.068,303,89.90%,88.70%
17K397,P.S. 397 Foster-Laurie,2019-20,172,10,24,28,38,19,23,30,0,0,0,0,0,0,0,74,0.43,98,0.57,2,0.012,129,0.75,18,0.105,15,0.087,8,0.047,36,0.209,17,0.099,135,78.50%,77.20%
17K398,P.S. 398 Walter Weaver,2019-20,265,32,29,41,37,37,39,50,0,0,0,0,0,0,0,121,0.457,144,0.543,3,0.011,217,0.819,37,0.14,4,0.015,4,0.015,56,0.211,20,0.075,Above 95%,Above 95%,92.80%
17K399,P.S. 399 Stanley Eugene Clark,2019-20,284,0,43,33,45,63,42,58,0,0,0,0,0,0,0,144,0.507,140,0.493,8,0.028,221,0.778,42,0.148,9,0.032,4,0.014,36,0.127,35,0.123,Above 95%,Above 95%,86.60%
17K408,Academy of Hospitality and Tourism,2019-20,244,0,0,0,0,0,0,0,0,0,0,83,62,61,38,130,0.533,114,0.467,4,0.016,182,0.746,48,0.197,1,0.004,9,0.037,58,0.238,39,0.16,216,88.50%,85.70%
17K484,Ronald Edmonds Learning Center II,2019-20,173,0,0,0,0,0,0,0,65,54,54,0,0,0,0,85,0.491,88,0.509,4,0.023,116,0.671,43,0.249,6,0.035,4,0.023,59,0.341,14,0.081,156,90.20%,92.50%
17K524,International High School at Prospect Heights,2019-20,370,0,0,0,0,0,0,0,0,0,0,88,85,90,107,139,0.376,231,0.624,62,0.168,79,0.214,185,0.5,9,0.024,35,0.095,15,0.041,311,0.841,302,81.60%,Above 95%
17K528,The High School for Global Citizenship,2019-20,222,0,0,0,0,0,0,0,0,0,0,58,69,53,42,70,0.315,152,0.685,11,0.05,170,0.766,35,0.158,5,0.023,1,0.005,36,0.162,18,0.081,185,83.30%,78.60%
17K531,"School for Human Rights, The",2019-20,326,0,0,0,0,0,0,0,0,0,0,87,86,79,74,151,0.463,175,0.537,7,0.021,278,0.853,28,0.086,7,0.021,6,0.018,61,0.187,23,0.071,273,83.70%,78.40%
17K532,New Bridges Elementary,2019-20,449,72,66,71,53,60,69,58,0,0,0,0,0,0,0,220,0.49,229,0.51,9,0.02,315,0.702,99,0.22,11,0.024,15,0.033,89,0.198,37,0.082,380,84.60%,84.10%
17K537,High School for Youth and Community Development at,2019-20,466,0,0,0,0,0,0,0,0,0,0,124,132,107,103,128,0.275,338,0.725,14,0.03,368,0.79,65,0.139,7,0.015,12,0.026,114,0.245,36,0.077,338,72.50%,78.50%
17K539,High School for Service & Learning at Erasmus,2019-20,299,0,0,0,0,0,0,0,0,0,0,69,78,85,67,106,0.355,193,0.645,10,0.033,220,0.736,57,0.191,7,0.023,5,0.017,61,0.204,42,0.14,244,81.60%,85.00%
17K543,"Science, Technology and Research Early College Hig",2019-20,624,0,0,0,0,0,0,0,85,90,72,108,88,89,92,309,0.495,315,0.505,27,0.043,477,0.764,81,0.13,27,0.043,12,0.019,88,0.141,7,0.011,439,70.40%,62.80%
17K546,High School for Public Service: Heroes of Tomorrow,2019-20,475,0,0,0,0,0,0,0,0,0,0,122,135,108,110,308,0.648,167,0.352,18,0.038,376,0.792,64,0.135,13,0.027,4,0.008,88,0.185,5,0.011,373,78.50%,75.10%
17K547,Brooklyn Academy of Science and the Environment,2019-20,342,0,0,0,0,0,0,0,0,0,0,93,76,87,86,140,0.409,202,0.591,20,0.058,250,0.731,50,0.146,6,0.018,16,0.047,56,0.164,21,0.061,267,78.10%,77.60%
17K548,Brooklyn School for Music & Theatre,2019-20,278,0,0,0,0,0,0,0,0,0,0,68,85,72,53,191,0.687,87,0.313,3,0.011,210,0.755,62,0.223,1,0.004,2,0.007,58,0.209,7,0.025,231,83.10%,84.00%
17K568,Brownsville Academy High School,2019-20,111,0,0,0,0,0,0,0,0,0,0,0,33,47,31,56,0.505,55,0.495,1,0.009,88,0.793,16,0.144,5,0.045,1,0.009,30,0.27,2,0.018,94,84.70%,86.00%
17K590,Medgar Evers College Preparatory School,2019-20,"1,414",0,0,0,0,0,0,0,205,173,141,229,230,240,196,796,0.563,618,0.437,37,0.026,"1,227",0.868,70,0.05,68,0.048,12,0.008,95,0.067,3,0.002,1063,75.20%,54.40%
17K600,Clara Barton High School,2019-20,"1,253",0,0,0,0,0,0,0,0,0,0,415,355,226,257,966,0.771,287,0.229,18,0.014,"1,098",0.876,106,0.085,16,0.013,15,0.012,215,0.172,88,0.07,887,70.80%,76.00%
17K646,Aspirations Diploma Plus High School,2019-20,200,0,0,0,0,0,0,0,0,0,0,23,47,57,73,86,0.43,114,0.57,1,0.005,167,0.835,26,0.13,4,0.02,2,0.01,52,0.26,5,0.025,163,81.50%,82.30%
17K705,Brooklyn Arts and Science Elementary School,2019-20,321,36,46,45,53,50,49,42,0,0,0,0,0,0,0,153,0.477,168,0.523,17,0.053,130,0.405,100,0.312,8,0.025,66,0.206,74,0.231,39,0.121,219,68.20%,62.10%
17K722,New Heights Middle School,2019-20,248,0,0,0,0,0,0,0,53,97,98,0,0,0,0,107,0.431,141,0.569,0,0,199,0.802,28,0.113,13,0.052,8,0.032,73,0.294,16,0.065,206,83.10%,79.70%
17K745,Brooklyn Institute for Liberal Arts,2019-20,461,0,0,0,0,0,0,0,0,0,0,147,121,95,98,252,0.547,209,0.453,9,0.02,391,0.848,56,0.121,3,0.007,2,0.004,97,0.21,18,0.039,395,85.70%,76.40%
17K751,Academy for Health Careers,2019-20,277,0,0,0,0,0,0,0,0,0,0,71,69,58,79,204,0.736,73,0.264,13,0.047,221,0.798,36,0.13,6,0.022,1,0.004,41,0.148,10,0.036,245,88.40%,83.30%
17K770,P.S. 770 New American Academy,2019-20,288,45,47,44,42,34,37,39,0,0,0,0,0,0,0,152,0.528,136,0.472,8,0.028,146,0.507,28,0.097,40,0.139,66,0.229,44,0.153,5,0.017,133,46.20%,52.20%
18K066,P.S. 66,2019-20,760,33,49,62,69,57,71,76,103,121,119,0,0,0,0,381,0.501,379,0.499,11,0.014,633,0.833,76,0.1,14,0.018,26,0.034,108,0.142,32,0.042,545,71.70%,65.60%
18K068,I.S. 068 Isaac Bildersee,2019-20,239,0,0,0,0,0,0,0,74,74,91,0,0,0,0,86,0.36,153,0.64,16,0.067,168,0.703,22,0.092,1,0.004,32,0.134,71,0.297,59,0.247,203,84.90%,80.70%
18K114,P.S. 114 Ryder Elementary,2019-20,484,51,73,73,66,65,77,79,0,0,0,0,0,0,0,253,0.523,231,0.477,16,0.033,386,0.798,58,0.12,5,0.01,19,0.039,102,0.211,60,0.124,375,77.50%,81.10%
18K115,P.S. 115 Daniel Mucatel School,2019-20,861,97,108,104,131,129,148,144,0,0,0,0,0,0,0,429,0.498,432,0.502,23,0.027,706,0.82,57,0.066,14,0.016,61,0.071,141,0.164,71,0.082,544,63.20%,66.50%
18K135,P.S. 135 Sheldon A. Brookner,2019-20,465,36,60,59,69,68,87,86,0,0,0,0,0,0,0,205,0.441,260,0.559,8,0.017,376,0.809,33,0.071,6,0.013,42,0.09,77,0.166,39,0.084,405,87.10%,82.10%
18K208,P.S. 208 Elsa Ebeling,2019-20,339,29,47,34,50,72,49,58,0,0,0,0,0,0,0,168,0.496,171,0.504,10,0.029,301,0.888,24,0.071,3,0.009,1,0.003,94,0.277,12,0.035,282,83.20%,75.20%
18K211,I.S. 211 John Wilson,2019-20,342,0,0,0,0,0,0,0,93,116,133,0,0,0,0,181,0.529,161,0.471,5,0.015,274,0.801,40,0.117,10,0.029,13,0.038,99,0.289,37,0.108,274,80.10%,75.50%
18K219,P.S. 219 Kennedy-King,2019-20,364,31,48,42,58,63,65,57,0,0,0,0,0,0,0,173,0.475,191,0.525,4,0.011,299,0.821,43,0.118,6,0.016,12,0.033,106,0.291,45,0.124,306,84.10%,87.70%
18K233,P.S. 233 Langston Hughes,2019-20,332,47,30,42,49,50,66,48,0,0,0,0,0,0,0,157,0.473,175,0.527,3,0.009,298,0.898,24,0.072,0,0,7,0.021,66,0.199,8,0.024,276,83.10%,71.50%
18K235,P.S. 235 Janice Marie Knight School,2019-20,"1,174",35,104,110,142,155,148,173,97,94,116,0,0,0,0,643,0.548,531,0.452,22,0.019,"1,073",0.914,39,0.033,27,0.023,13,0.011,110,0.094,9,0.008,766,65.20%,54.70%
18K244,P.S. 244 Richard R. Green,2019-20,427,37,46,66,63,75,62,78,0,0,0,0,0,0,0,181,0.424,246,0.576,10,0.023,380,0.89,26,0.061,4,0.009,7,0.016,106,0.248,15,0.035,367,85.90%,73.10%
18K268,P.S. 268 Emma Lazarus,2019-20,320,35,39,40,45,58,56,47,0,0,0,0,0,0,0,153,0.478,167,0.522,4,0.013,284,0.887,21,0.066,3,0.009,8,0.025,58,0.181,21,0.066,259,80.90%,82.20%
18K272,P.S. 272 Curtis Estabrook,2019-20,437,46,68,61,46,65,78,73,0,0,0,0,0,0,0,212,0.485,225,0.515,15,0.034,313,0.716,75,0.172,14,0.032,20,0.046,151,0.346,25,0.057,398,91.10%,90.30%
18K276,P.S. 276 Louis Marshall,2019-20,549,54,77,80,75,87,90,86,0,0,0,0,0,0,0,262,0.477,287,0.523,23,0.042,469,0.854,18,0.033,5,0.009,34,0.062,100,0.182,92,0.168,444,80.90%,71.60%
18K279,P.S. 279 Herman Schreiber,2019-20,348,49,37,52,49,40,61,60,0,0,0,0,0,0,0,174,0.5,174,0.5,10,0.029,299,0.859,24,0.069,4,0.011,11,0.032,53,0.152,16,0.046,277,79.60%,69.40%
18K285,I.S. 285 Meyer Levin,2019-20,727,0,0,0,0,0,0,0,212,289,226,0,0,0,0,404,0.556,323,0.444,6,0.008,662,0.911,40,0.055,11,0.015,8,0.011,158,0.217,30,0.041,547,75.20%,75.50%
18K366,The Science And Medicine Middle School,2019-20,407,0,0,0,0,0,0,0,141,130,136,0,0,0,0,204,0.501,203,0.499,6,0.015,347,0.853,39,0.096,6,0.015,9,0.022,84,0.206,13,0.032,332,81.60%,73.20%
18K563,It Takes a Village Academy,2019-20,620,0,0,0,0,0,0,0,0,0,0,127,127,165,201,266,0.429,354,0.571,15,0.024,540,0.871,43,0.069,10,0.016,12,0.019,101,0.163,103,0.166,436,70.30%,78.60%
18K566,Brooklyn Community High School for Excellence and,2019-20,204,0,0,0,0,0,0,0,0,0,0,58,55,52,39,65,0.319,139,0.681,1,0.005,165,0.809,25,0.123,3,0.015,10,0.049,44,0.216,25,0.123,152,74.50%,78.50%
18K567,Brooklyn Theatre Arts High School,2019-20,338,0,0,0,0,0,0,0,0,0,0,81,83,92,82,198,0.586,140,0.414,5,0.015,277,0.82,42,0.124,6,0.018,8,0.024,69,0.204,9,0.027,278,82.20%,83.40%
18K569,Kurt Hahn Expeditionary Learning School,2019-20,259,0,0,0,0,0,0,0,0,0,0,54,63,54,88,85,0.328,174,0.672,1,0.004,229,0.884,22,0.085,4,0.015,3,0.012,79,0.305,16,0.062,210,81.10%,78.20%
18K576,Victory Collegiate High School,2019-20,307,0,0,0,0,0,0,0,0,0,0,72,81,78,76,138,0.45,169,0.55,5,0.016,252,0.821,28,0.091,2,0.007,20,0.065,65,0.212,18,0.059,239,77.90%,78.10%
18K578,Brooklyn Bridge Academy,2019-20,168,0,0,0,0,0,0,0,0,0,0,17,38,53,60,49,0.292,119,0.708,6,0.036,145,0.863,13,0.077,1,0.006,3,0.018,52,0.31,16,0.095,135,80.40%,78.10%
18K581,"The Middle School of Media, Law and Fine Arts",2019-20,234,0,0,0,0,0,0,0,64,97,73,0,0,0,0,121,0.517,113,0.483,2,0.009,201,0.859,16,0.068,7,0.03,8,0.034,57,0.244,22,0.094,194,82.90%,82.90%
18K588,Middle School for Art and Philosophy,2019-20,165,0,0,0,0,0,0,0,49,59,57,0,0,0,0,92,0.558,73,0.442,2,0.012,145,0.879,13,0.079,2,0.012,3,0.018,58,0.352,11,0.067,142,86.10%,81.60%
18K617,High School for Innovation in Advertising and Medi,2019-20,208,0,0,0,0,0,0,0,0,0,0,58,51,48,51,43,0.207,165,0.793,5,0.024,173,0.832,18,0.087,3,0.014,9,0.043,49,0.236,11,0.053,162,77.90%,77.40%
18K629,Cultural Academy for the Arts and Sciences,2019-20,251,0,0,0,0,0,0,0,0,0,0,116,43,33,59,122,0.486,129,0.514,4,0.016,212,0.845,23,0.092,9,0.036,3,0.012,54,0.215,21,0.084,196,78.10%,75.60%
18K633,High School for Medical Professions,2019-20,454,0,0,0,0,0,0,0,0,0,0,123,127,109,95,299,0.659,155,0.341,9,0.02,369,0.813,54,0.119,10,0.022,12,0.026,66,0.145,24,0.053,386,85.00%,75.70%
18K635,Olympus Academy,2019-20,191,0,0,0,0,0,0,0,0,0,0,13,66,39,73,84,0.44,107,0.56,3,0.016,166,0.869,19,0.099,0,0,3,0.016,48,0.251,4,0.021,159,83.20%,71.40%
18K637,Academy for Conservation and the Environment,2019-20,306,0,0,0,0,0,0,0,0,0,0,107,71,66,62,114,0.373,192,0.627,19,0.062,226,0.739,38,0.124,4,0.013,19,0.062,58,0.19,32,0.105,242,79.10%,79.10%
18K642,Urban Action Academy,2019-20,209,0,0,0,0,0,0,0,0,0,0,63,56,38,52,78,0.373,131,0.627,6,0.029,159,0.761,27,0.129,0,0,17,0.081,40,0.191,40,0.191,191,91.40%,83.90%
18K673,East Brooklyn Community High School,2019-20,196,0,0,0,0,0,0,0,0,0,0,25,47,75,49,74,0.378,122,0.622,3,0.015,160,0.816,30,0.153,1,0.005,2,0.01,80,0.408,9,0.046,156,79.60%,83.10%
18K763,Brooklyn Science and Engineering Academy,2019-20,353,0,0,0,0,0,0,0,119,119,115,0,0,0,0,132,0.374,221,0.626,5,0.014,312,0.884,26,0.074,6,0.017,4,0.011,70,0.198,7,0.02,260,73.70%,62.50%
19K007,P.S. 007 Abraham Lincoln,2019-20,784,51,94,107,137,117,139,139,0,0,0,0,0,0,0,406,0.518,378,0.482,40,0.051,57,0.073,657,0.838,13,0.017,17,0.022,146,0.186,163,0.208,731,93.20%,85.70%
19K013,P.S. 013 Roberto Clemente,2019-20,417,62,54,54,55,73,60,59,0,0,0,0,0,0,0,189,0.453,228,0.547,16,0.038,278,0.667,101,0.242,8,0.019,14,0.034,101,0.242,37,0.089,386,92.60%,91.30%
19K065,P.S. 065,2019-20,556,15,83,96,78,87,105,92,0,0,0,0,0,0,0,268,0.482,288,0.518,20,0.036,51,0.092,466,0.838,12,0.022,7,0.013,65,0.117,124,0.223,466,83.80%,85.50%
19K089,P.S. 089 Cypress Hills,2019-20,490,33,40,47,44,47,48,42,64,61,64,0,0,0,0,247,0.504,243,0.496,2,0.004,13,0.027,473,0.965,2,0.004,0,0,115,0.235,200,0.408,458,93.50%,86.40%
19K108,P.S. 108 Sal Abbracciamento,2019-20,901,100,139,125,137,134,131,135,0,0,0,0,0,0,0,438,0.486,463,0.514,43,0.048,75,0.083,745,0.827,25,0.028,13,0.014,209,0.232,88,0.098,760,84.40%,86.70%
19K149,P.S. 149 Danny Kaye,2019-20,605,75,75,73,88,88,93,113,0,0,0,0,0,0,0,290,0.479,315,0.521,16,0.026,342,0.565,230,0.38,4,0.007,13,0.021,143,0.236,43,0.071,566,93.60%,88.70%
19K158,P.S. 158 Warwick,2019-20,505,91,48,67,71,83,76,69,0,0,0,0,0,0,0,271,0.537,234,0.463,8,0.016,239,0.473,241,0.477,11,0.022,6,0.012,89,0.176,32,0.063,443,87.70%,86.60%
19K159,P.S. 159 Isaac Pitkin,2019-20,756,18,127,120,120,129,124,118,0,0,0,0,0,0,0,373,0.493,383,0.507,328,0.434,205,0.271,192,0.254,20,0.026,11,0.015,121,0.16,112,0.148,637,84.30%,88.60%
19K171,I.S. 171 Abraham Lincoln,2019-20,385,0,0,0,0,0,0,0,128,114,143,0,0,0,0,162,0.421,223,0.579,32,0.083,30,0.078,312,0.81,7,0.018,4,0.01,69,0.179,113,0.294,358,93.00%,88.00%
19K190,P.S. 190 Sheffield,2019-20,190,24,17,24,26,32,35,32,0,0,0,0,0,0,0,106,0.558,84,0.442,6,0.032,133,0.7,37,0.195,2,0.011,12,0.063,33,0.174,11,0.058,179,94.20%,91.20%
19K202,P.S. 202 Ernest S. Jenkyns,2019-20,352,40,45,49,39,57,53,69,0,0,0,0,0,0,0,175,0.497,177,0.503,11,0.031,197,0.56,129,0.366,4,0.011,11,0.031,88,0.25,38,0.108,328,93.20%,92.70%
19K213,P.S. 213 New Lots,2019-20,259,56,31,31,44,33,24,40,0,0,0,0,0,0,0,128,0.494,131,0.506,10,0.039,185,0.714,43,0.166,6,0.023,15,0.058,46,0.178,22,0.085,233,90.00%,90.70%
19K214,P.S. 214 Michael Friedsam,2019-20,865,98,128,130,131,129,130,119,0,0,0,0,0,0,0,422,0.488,443,0.512,462,0.534,89,0.103,265,0.306,15,0.017,34,0.039,126,0.146,122,0.141,703,81.30%,86.80%
19K218,J.H.S. 218 James P. Sinnott,2019-20,378,0,0,0,0,0,0,0,99,140,139,0,0,0,0,176,0.466,202,0.534,55,0.146,163,0.431,144,0.381,8,0.021,8,0.021,103,0.272,96,0.254,354,93.70%,93.60%
19K224,P.S. 224 Hale A. Woodruff,2019-20,332,32,45,44,49,41,57,64,0,0,0,0,0,0,0,167,0.503,165,0.497,9,0.027,198,0.596,115,0.346,7,0.021,3,0.009,81,0.244,30,0.09,308,92.80%,92.90%
19K273,P.S. 273 Wortman,2019-20,329,53,36,52,53,40,48,47,0,0,0,0,0,0,0,174,0.529,155,0.471,4,0.012,237,0.72,80,0.243,4,0.012,4,0.012,74,0.225,10,0.03,272,82.70%,88.10%
19K290,P.S. 290 Juan Morel Campos,2019-20,436,30,78,57,75,58,64,74,0,0,0,0,0,0,0,205,0.47,231,0.53,14,0.032,79,0.181,330,0.757,8,0.018,5,0.011,92,0.211,103,0.236,411,94.30%,88.20%
19K292,J.H.S. 292 Margaret S. Douglas,2019-20,526,0,0,0,0,0,0,0,166,179,181,0,0,0,0,262,0.498,264,0.502,97,0.184,245,0.466,168,0.319,9,0.017,7,0.013,131,0.249,62,0.118,Above 95%,Above 95%,92.50%
19K306,P.S. 306 Ethan Allen,2019-20,310,63,49,35,40,38,41,44,0,0,0,0,0,0,0,169,0.545,141,0.455,2,0.006,234,0.755,70,0.226,2,0.006,2,0.006,75,0.242,4,0.013,284,91.60%,94.40%
19K325,The Fresh Creek School,2019-20,190,30,20,22,28,30,31,29,0,0,0,0,0,0,0,102,0.537,88,0.463,0,0,126,0.663,56,0.295,5,0.026,3,0.016,37,0.195,6,0.032,171,90.00%,90.50%
19K328,P.S. 328 Phyllis Wheatley,2019-20,309,60,46,45,49,43,32,34,0,0,0,0,0,0,0,148,0.479,161,0.521,6,0.019,178,0.576,114,0.369,2,0.006,9,0.029,69,0.223,33,0.107,Above 95%,Above 95%,Above 95%
19K345,P.S. 345 Patrolman Robert Bolden,2019-20,577,64,93,89,70,83,94,84,0,0,0,0,0,0,0,288,0.499,289,0.501,39,0.068,175,0.303,343,0.594,10,0.017,10,0.017,88,0.153,88,0.153,488,84.60%,88.80%
19K346,P.S. 346 Abe Stark,2019-20,558,50,65,72,87,91,103,90,0,0,0,0,0,0,0,272,0.487,286,0.513,22,0.039,359,0.643,135,0.242,22,0.039,20,0.036,137,0.246,5,0.009,473,84.80%,75.80%
19K364,I.S. 364 Gateway,2019-20,265,0,0,0,0,0,0,0,68,80,117,0,0,0,0,119,0.449,146,0.551,9,0.034,185,0.698,59,0.223,2,0.008,10,0.038,83,0.313,6,0.023,215,81.10%,82.70%
19K404,Academy for Young Writers,2019-20,542,0,0,0,0,0,0,0,70,71,62,100,94,75,70,330,0.609,212,0.391,9,0.017,365,0.673,153,0.282,8,0.015,7,0.013,134,0.247,16,0.03,465,85.80%,83.50%
19K409,East New York Family Academy,2019-20,511,0,0,0,0,0,0,0,70,72,63,99,102,54,51,249,0.487,262,0.513,18,0.035,337,0.659,146,0.286,8,0.016,2,0.004,114,0.223,16,0.031,432,84.50%,83.70%
19K422,Spring Creek Community School,2019-20,530,0,0,0,0,0,0,0,74,65,71,100,83,67,70,244,0.46,286,0.54,6,0.011,388,0.732,115,0.217,11,0.021,10,0.019,126,0.238,13,0.025,452,85.30%,83.00%
19K452,Frederick Douglass Academy VIII Middle School,2019-20,307,0,0,0,0,0,0,0,105,103,99,0,0,0,0,163,0.531,144,0.469,22,0.072,211,0.687,64,0.208,0,0,10,0.033,57,0.186,7,0.023,291,94.80%,74.60%
19K502,FDNY - Captain Vernon A. Richard High School for F,2019-20,269,0,0,0,0,0,0,0,0,0,0,109,61,51,48,66,0.245,203,0.755,5,0.019,175,0.651,78,0.29,6,0.022,5,0.019,87,0.323,8,0.03,225,83.60%,84.20%
19K504,High School for Civil Rights,2019-20,233,0,0,0,0,0,0,0,0,0,0,50,79,85,19,99,0.425,134,0.575,3,0.013,146,0.627,73,0.313,7,0.03,4,0.017,71,0.305,35,0.15,188,80.70%,87.40%
19K507,Performing Arts and Technology High School,2019-20,379,0,0,0,0,0,0,0,0,0,0,97,101,107,74,230,0.607,149,0.393,6,0.016,227,0.599,136,0.359,5,0.013,5,0.013,88,0.232,66,0.174,333,87.90%,87.70%
19K510,World Academy for Total Community Health High Scho,2019-20,199,0,0,0,0,0,0,0,0,0,0,44,49,56,50,113,0.568,86,0.432,5,0.025,136,0.683,48,0.241,5,0.025,5,0.025,43,0.216,29,0.146,185,93.00%,88.50%
19K557,Brooklyn Gardens Elementary School,2019-20,309,48,39,33,44,49,49,47,0,0,0,0,0,0,0,143,0.463,166,0.537,2,0.006,183,0.592,114,0.369,6,0.019,4,0.013,79,0.256,18,0.058,284,91.90%,94.80%
19K583,Multicultural High School,2019-20,299,0,0,0,0,0,0,0,0,0,0,85,91,78,45,137,0.458,162,0.542,0,0,10,0.033,289,0.967,0,0,0,0,2,0.007,257,0.86,268,89.60%,Above 95%
19K615,Transit Tech Career and Technical Education High S,2019-20,715,0,0,0,0,0,0,0,0,0,0,277,185,110,143,104,0.145,611,0.855,48,0.067,424,0.593,200,0.28,29,0.041,14,0.02,192,0.269,47,0.066,569,79.60%,80.40%
19K618,Academy of Innovative Technology,2019-20,445,0,0,0,0,0,0,0,0,0,0,127,124,107,87,90,0.202,355,0.798,26,0.058,158,0.355,234,0.526,18,0.04,9,0.02,101,0.227,41,0.092,374,84.00%,79.10%
19K639,Brooklyn Lab School,2019-20,437,0,0,0,0,0,0,0,0,0,0,114,124,91,108,163,0.373,274,0.627,49,0.112,109,0.249,250,0.572,12,0.027,17,0.039,86,0.197,127,0.291,377,86.30%,90.30%
19K654,Van Siclen Community Middle School,2019-20,290,0,0,0,0,0,0,0,85,109,96,0,0,0,0,127,0.438,163,0.562,6,0.021,198,0.683,77,0.266,0,0,9,0.031,103,0.355,25,0.086,Above 95%,Above 95%,93.20%
19K659,Cypress Hills Collegiate Preparatory School,2019-20,348,0,0,0,0,0,0,0,0,0,0,108,89,93,58,161,0.463,187,0.537,43,0.124,52,0.149,241,0.693,4,0.011,8,0.023,66,0.19,61,0.175,319,91.70%,84.80%
19K660,W. H. Maxwell Career and Technical Education High,2019-20,396,0,0,0,0,0,0,0,0,0,0,120,102,87,87,268,0.677,128,0.323,7,0.018,250,0.631,122,0.308,6,0.015,11,0.028,139,0.351,47,0.119,371,93.70%,90.80%
19K661,Vista Academy,2019-20,474,0,0,0,0,0,0,0,162,155,157,0,0,0,0,222,0.468,252,0.532,31,0.065,114,0.241,308,0.65,13,0.027,8,0.017,98,0.207,43,0.091,Above 95%,Above 95%,87.00%
19K662,Liberty Avenue Middle School,2019-20,514,0,0,0,0,0,0,0,173,163,178,0,0,0,0,253,0.492,261,0.508,22,0.043,122,0.237,351,0.683,12,0.023,7,0.014,113,0.22,90,0.175,Above 95%,Above 95%,88.10%
